iter	Passed	Remaining
446	1101	1362
447	1102	1358
448	1103	1354
449	1106	1352
450	1107	1348
451	1109	1344
452	1110	1340
453	1111	1337
454	1113	1333
455	1114	1329
456	1116	1326
457	1117	1322
458	1118	1318
459	1121	1316
460	1123	1313
461	1124	1309
462	1126	1306
463	1127	1302
464	1129	1299
465	1130	1295
466	1132	1292
467	1133	1288
468	1136	1286
469	1138	1283
470	1139	1279
471	1140	1276
472	1142	1273
473	1143	1269
474	1145	1265
475	1146	1262
476	1148	1258
477	1152	1258
478	1153	1254
479	1155	1251
480	1156	1247
481	1158	1244
482	1159	1241
483	1161	1237
484	1162	1234
485	1166	1233
486	1167	1230
487	1169	1226
488	1171	1223
489	1172	1220
490	1174	1217
491	1175	1213
492	1176	1210
493	1178	1206
494	1181	1205
495	1183	1202
496	1184	1198
497	1185	1195
498	1187	1192
499	1188	1188
500	1190	1185
501	1191	1181
502	1192	1178
503	1196	1177
504	1197	1174
505	1199	1170
506	1200	1167
507	1202	1164
508	1203	1161
509	1205	1157
510	1206	1154
511	1207	1151
512	1211	1149
513	1212	1146
514	1214	1143
515	1215	1140
516	1217	1137
517	1218	1134
518	1220	1130
519	1221	1127
520	1222	1124
521	1226	1122
522	1227	1119
523	1228	1116
524	1230	1113
525	1231	1110
526	1233	1107
527	1234	1103
528	1236	1100
529	1240	1099
530	1241	1096
531	1243	1093
532	1244	1090
533	1246	1087
534	1247	1084
535	1249	1081
536	1251	1079
537	1255	1078
538	1257	1075
539	1258	1072
540	1260	1069
541	1261	1066
542	1263	1063
543	1264	1059
544	1265	1056
545	1268	1054
546	1269	1051
547	1271	1048
548	1272	1045
549	1273	1042
550	1275	1039
551	1276	1036
552	1278	1033
553	1279	1030
554	1280	1026
555	1283	1025
556	1285	1022
557	1286	1019
558	1287	1015
559	1288	1012
560	1290	1009
561	1291	1006
562	1292	1003
563	1293	1000
564	1294	997
565	1297	995
566	1299	992
567	1301	989
568	1302	986
569	1304	984
570	1305	981
571	1307	978
572	1308	975
573	1311	973
574	1313	970
575	1314	967
576	1315	964
577	1317	961
578	1318	958
579	1319	955
580	1320	952
581	1322	949
582	1323	946
583	1324	943
584	1326	940
585	1327	937
586	1328	934
587	1329	931
588	1331	928
589	1332	926
590	1334	923
591	1335	920
592	1336	917
593	1340	915
594	1341	913
595	1343	910
596	1344	907
597	1346	905
598	1347	902
599	1349	899
600	1350	896
601	1352	893
602	1355	892
603	1356	889
604	1358	886
605	1360	884
606	1361	881
607	1363	878
608	1364	876
609	1365	873
610	1371	873
611	1373	870
612	1374	867
613	1375	864
614	1377	862
615	1378	859
616	1380	856
617	1381	853
618	1388	854
619	1389	851
620	1391	849
621	1392	846
622	1394	843
623	1395	841
624	1397	838
625	1402	837
626	1404	835
627	1406	833
628	1408	830
629	1410	828
630	1411	825
631	1424	829
632	1429	828
633	1433	827
634	1435	825
635	1443	826
636	1450	826
637	1454	825
638	1455	822
639	1465	824
640	1467	821
641	1469	819
642	1471	816
643	1473	814
644	1475	812
645	1479	810
646	1480	807
647	1482	805
648	1483	802
649	1484	799
650	1486	796
651	1487	794
652	1489	791
653	1490	788
654	1492	786
655	1493	783
656	1495	780
657	1496	777
658	1498	775
659	1499	772
660	1501	769
661	1502	767
662	1506	765
663	1508	763
664	1509	760
665	1511	757
666	1512	755
667	1514	752
668	1515	749
669	1517	747
670	1519	745
671	1521	742
672	1522	739
673	1524	737
674	1525	734
675	1527	731
676	1528	729
677	1529	726
678	1531	723
679	1534	722
680	1536	719
681	1537	717
682	1539	714
683	1540	711
684	1541	709
685	1543	706
686	1544	703
687	1546	701
688	1548	699
689	1550	696
690	1551	693
691	1552	691
692	1553	688
693	1555	685
694	1556	683
695	1558	680
696	1559	677
697	1560	675
698	1563	673
699	1564	670
700	1565	667
701	1567	665
702	1568	662
703	1570	660
704	1571	657
705	1572	655
706	1574	652
707	1575	649
708	1578	648
709	1580	645
710	1581	642
711	1583	640
712	1584	637
713	1586	635
714	1587	632
715	1589	630
716	1590	627
717	1593	625
718	1595	623
719	1596	620
720	1598	618
721	1599	615
722	1601	613
723	1602	610
724	1603	608
725	1605	605
726	1608	604
727	1610	601
728	1611	599
729	1613	596
730	1614	594
731	1616	591
732	1617	589
733	1618	586
734	1622	584
735	1623	582
736	1625	579
737	1626	577
738	1628	575
739	1629	572
740	1631	570
741	1632	567
742	1634	565
743	1637	563
744	1639	561
745	1640	558
746	1642	556
747	1643	553
748	1645	551
749	1646	548
750	1648	546
751	1651	544
752	1652	542
753	1654	539
754	1655	537
755	1657	534
756	1658	532
757	1659	529
758	1661	527
759	1662	525
760	1664	522
761	1669	521
762	1671	519
763	1672	516
764	1674	514
765	1676	512
766	1680	510
767	1682	508
768	1684	506
769	1686	503
770	1687	501
771	1689	498
772	1691	496
773	1695	495
774	1697	492
775	1699	490
776	1700	488
777	1702	485
778	1703	483
779	1705	480
780	1707	478
781	1710	476
782	1712	474
783	1714	472
784	1716	470
785	1719	468
786	1721	465
787	1725	464
788	1727	462
789	1729	459
790	1731	457
791	1734	455
792	1735	453
793	1737	450
794	1740	448
795	1742	446
796	1744	444
797	1745	441
798	1746	439
799	1748	437
800	1749	434
801	1751	432
802	1753	430
803	1755	427
804	1757	425
805	1760	423
806	1762	421
807	1764	419
808	1769	417
809	1772	415
810	1779	414
811	1784	413
812	1786	410
813	1788	408
814	1790	406
815	1797	405
816	1799	403
817	1800	400
