iter	RMSE
175	19799.40777
176	19790.06253
177	19783.93541
178	19777.69042
179	19771.87862
180	19766.00072
181	19760.5794
182	19754.69123
183	19746.63148
184	19738.11318
185	19732.18911
186	19723.53599
187	19716.76404
188	19707.78895
189	19702.52026
190	19695.56146
191	19690.32885
192	19685.4365
193	19680.38947
194	19675.10136
195	19670.18566
196	19663.74251
197	19657.39244
198	19646.7408
199	19642.28798
200	19636.04808
201	19630.63868
202	19626.26707
203	19619.33938
204	19614.77446
205	19606.81245
206	19601.45407
207	19593.91151
208	19581.89295
209	19577.1202
210	19569.72061
211	19565.63003
212	19560.87391
213	19554.89257
214	19547.94837
215	19541.90547
216	19535.48641
217	19531.13338
218	19524.39956
219	19520.8669
220	19516.08447
221	19510.46148
222	19505.98367
223	19502.37441
224	19496.65004
225	19492.15667
226	19487.38695
227	19479.13965
228	19475.13499
229	19470.48302
230	19464.49314
231	19460.26454
232	19454.3889
233	19447.18519
234	19444.25931
235	19439.95564
236	19434.40505
237	19427.86734
238	19424.00649
239	19416.80752
240	19413.30856
241	19408.59971
242	19403.95893
243	19399.68518
244	19393.68015
245	19387.96541
246	19382.12058
247	19377.81616
248	19374.11107
249	19370.69721
250	19364.84313
251	19360.16532
252	19356.38432
253	19352.08046
254	19346.99555
255	19342.43649
256	19336.08896
257	19332.33074
258	19329.10015
259	19323.81824
260	19319.51682
261	19316.09618
262	19312.84659
263	19309.77132
264	19305.44392
265	19301.2726
266	19298.99096
267	19295.33729
268	19291.52614
269	19288.19305
270	19284.36051
271	19280.83011
272	19276.30511
273	19272.56581
274	19268.58633
275	19263.12183
276	19260.13118
277	19255.94135
278	19252.89019
279	19248.54934
280	19245.86661
281	19241.80692
282	19238.72936
283	19234.56205
284	19229.89612
285	19226.08962
286	19220.65556
287	19217.42624
288	19213.73347
289	19209.98721
290	19204.59287
291	19201.45037
292	19199.53382
293	19195.44937
294	19192.66903
295	19190.19725
296	19186.34563
297	19183.38291
298	19180.82727
299	19176.35497
300	19173.51806
301	19170.85887
302	19168.43373
303	19163.45138
304	19158.54506
305	19155.799
306	19153.51139
307	19150.25686
308	19146.70662
309	19142.92764
310	19138.45484
311	19136.38435
312	19133.62114
313	19129.06646
314	19126.28825
315	19124.19312
316	19120.48486
317	19118.28551
318	19115.28366
319	19111.83701
320	19109.41675
321	19104.97981
322	19102.47856
323	19099.17763
324	19097.34677
325	19094.17418
326	19091.21461
327	19086.17723
328	19080.84923
329	19076.19614
330	19073.42751
331	19070.61667
332	19068.041
333	19065.36125
334	19062.56713
335	19060.55592
336	19057.75324
337	19055.35479
338	19053.16458
339	19049.75409
340	19044.66027
341	19040.70305
342	19037.62358
343	19034.50245
344	19032.62981
345	19029.81961
346	19027.13629
347	19025.0945
348	19023.22454
349	19020.38807
350	19017.04265
351	19014.16811
352	19011.81842
353	19009.49078
354	19007.34433
355	19004.06462
356	19001.47665
357	18999.21167
358	18996.86404
359	18993.69494
360	18991.59057
361	18988.48531
362	18984.58376
363	18982.40522
364	18979.82756
365	18973.77208
366	18971.64538
367	18968.78827
368	18966.38219
369	18961.39269
370	18959.13383
371	18957.3877
372	18954.75596
373	18951.99209
374	18949.1246
375	18946.83735
376	18945.26848
377	18941.86876
378	18939.33352
379	18937.91469
380	18935.43906
381	18931.43849
382	18929.83436
383	18927.1478
384	18924.6887
385	18922.35603
386	18920.37988
387	18916.83557
388	18914.49542
389	18911.72463
390	18910.03269
391	18907.18099
392	18904.57217
393	18902.41294
394	18900.93031
395	18898.42905
396	18894.64028
397	18892.08775
398	18888.97022
399	18887.44505
400	18884.8952
401	18883.6265
402	18881.1831
403	18878.95508
404	18876.25427
405	18872.99772
406	18871.47598
407	18869.24544
408	18867.17557
409	18865.72955
410	18862.92857
411	18860.64102
412	18858.65843
413	18856.02639
414	18853.76922
415	18851.56025
416	18849.35525
417	18847.68846
418	18845.79001
419	18843.37278
420	18840.6343
421	18838.31683
422	18836.63002
423	18834.45763
424	18830.77017
425	18828.63289
426	18826.79068
427	18825.00454
428	18822.78089
429	18820.30195
430	18817.54177
431	18814.54618
432	18811.97604
433	18809.70503
434	18808.14876
435	18806.62555
436	18804.94752
437	18803.23388
438	18800.71778
439	18799.27485
440	18797.7433
441	18795.52743
442	18793.8219
443	18792.03785
444	18790.23058
445	18787.9704
446	18785.53243
447	18783.84985
448	18782.0718
449	18779.98127
450	18777.96021
451	18776.06117
452	18773.93999
453	18771.7993
454	18770.46586
455	18768.72668
456	18765.96537
457	18763.68707
458	18759.91909
459	18758.07405
460	18755.3943
461	18752.22809
462	18750.8497
463	18748.8672
464	18746.48244
465	18744.79772
466	18742.40668
467	18740.88169
468	18738.47014
469	18737.63428
470	18735.19513
471	18732.72805
472	18730.41353
473	18729.03515
474	18725.65964
475	18723.54801
476	18719.23114
477	18716.14208
478	18714.01526
479	18712.25207
480	18711.00927
481	18709.39062
482	18707.97134
483	18706.70128
484	18705.08834
485	18703.83105
486	18701.57007
487	18699.15775
488	18697.38017
489	18695.08863
490	18693.20812
491	18690.75166
492	18688.7488
493	18687.77782
494	18686.43616
495	18684.81294
496	18683.4861
497	18681.90353
498	18679.53395
499	18677.62739
500	18674.49109
501	18673.70588
502	18672.61785
503	18671.05059
504	18670.32875
505	18668.53404
506	18666.36931
507	18664.63194
508	18662.5141
509	18661.34194
510	18659.06168
511	18657.08388
512	18655.88162
513	18654.89667
514	18653.26403
515	18652.02012
516	18650.25533
517	18648.06382
518	18646.56566
519	18645.18805
520	18643.23206
521	18641.9601
522	18640.3457
523	18638.96595
524	18636.77786
525	18634.49188
526	18633.43076
527	18631.95123
528	18629.84634
529	18627.63735
530	18626.92184
531	18626.17967
532	18623.6591
533	18622.35192
534	18621.42824
535	18619.40336
536	18617.70553
537	18615.36797
538	18613.2213
539	18611.60171
540	18610.37225
541	18609.27271
542	18607.51277
543	18605.29449
544	18603.02552
545	18601.71496
546	18600.7443
547	18599.61474
548	18598.02126
549	18596.40487
550	18594.66869
551	18593.52482
552	18592.30281
553	18591.79665
554	18590.35043
555	18589.24617
556	18587.39895
557	18585.85733
558	18583.97122
559	18582.1643
560	18581.0077
561	18578.87126
562	18576.84475
563	18573.74179
564	18571.16998
565	18570.25191
566	18568.30304
567	18567.23137
568	18565.20236
569	18563.25522
570	18561.81134
571	18560.15318
572	18558.23565
573	18555.8148
574	18551.36546
575	18550.89738
576	18548.58396
577	18547.28484
578	18546.11341
579	18543.69372
580	18541.80759
581	18540.7111
582	18539.01538
583	18537.48113
584	18536.32183
585	18534.41943
586	18532.85595
587	18531.4085
588	18530.10023
589	18528.33643
590	18526.12854
591	18524.61524
592	18522.97904
593	18521.17797
594	18519.04382
595	18516.4892
596	18515.18691
597	18514.58419
598	18511.09041
599	18509.47639
600	18507.74286
601	18505.72388
602	18505.30415
603	18504.23957
604	18502.76024
605	18501.31939
606	18500.31349
607	18498.99716
608	18497.23779
609	18495.70922
610	18493.54667
611	18491.29958
612	18490.4873
613	18488.17537
614	18486.76635
615	18485.07966
616	18483.7613
617	18482.45314
618	18481.08868
619	18479.10405
620	18477.44635
621	18475.79165
622	18474.42405
623	18472.17979
624	18470.65934
625	18469.71495
626	18468.95793
627	18467.44006
628	18466.31723
629	18465.5427
630	18464.54818
631	18463.23186
632	18461.08015
633	18459.2823
634	18457.9632
635	18457.05072
636	18454.95854
637	18454.00737
638	18452.69525
639	18451.50514
640	18449.97652
641	18448.90498
642	18448.04159
643	18446.3265
644	18445.35308
645	18444.11166
646	18442.43863
647	18440.17079
648	18437.91804
649	18436.94121
650	18435.57427
651	18435.19515
652	18433.97123
653	18432.18351
654	18431.34914
655	18430.38074
656	18428.83089
657	18427.76389
658	18425.43811
659	18424.0188
660	18421.7758
661	18419.43431
662	18417.52784
663	18416.47932
664	18414.37986
665	18412.84323
666	18411.5768
667	18409.71963
668	18407.66505
669	18406.53839
670	18405.23999
671	18402.8926
672	18399.22169
673	18398.7301
674	18397.18387
675	18395.98376
676	18394.89349
677	18393.91501
678	18392.63616
679	18392.13474
680	18390.97751
681	18389.54093
682	18388.03105
683	18386.85075
684	18386.00214
685	18384.26898
686	18382.15028
687	18381.01006
688	18379.64334
689	18376.41113
690	18375.48509
691	18374.42847
692	18373.0731
693	18371.36299
694	18369.20758
695	18367.59826
696	18364.75932
697	18363.35215
698	18362.35651
699	18360.6703
700	18359.02998
701	18357.31315
702	18356.22004
703	18354.40572
704	18353.76491
705	18351.94995
706	18350.88068
707	18349.08745
708	18347.40987
709	18346.75661
710	18345.45641
711	18344.68294
712	18343.04061
713	18341.54679
714	18340.45717
715	18339.63966
716	18339.18447
717	18337.08986
718	18336.15
719	18334.56285
720	18333.81474
721	18333.50396
722	18332.59052
723	18331.00425
724	18329.68328
725	18327.84832
726	18326.20358
727	18325.31716
728	18324.63187
729	18322.4713
730	18320.54929
731	18319.44163
732	18318.20156
733	18317.07496
734	18316.02805
735	18314.88668
736	18313.92591
737	18312.69111
738	18310.84616
739	18310.02098
740	18308.30812
741	18307.07812
742	18305.7194
743	18303.73804
744	18302.74475
745	18301.52374
746	18300.73782
747	18299.93213
748	18298.3
749	18297.39966
750	18295.9416
751	18294.96871
752	18294.23262
753	18292.28896
754	18291.0926
755	18290.47497
756	18287.9207
757	18286.30246
758	18283.74433
759	18282.59293
760	18280.51399
761	18278.0531
762	18277.15459
763	18275.93137
764	18274.79264
765	18273.46633
766	18271.15203
767	18270.30534
768	18269.58464
769	18267.99309
770	18267.23385
771	18266.32609
772	18264.96132
773	18263.6454
774	18263.23761
775	18261.67874
776	18260.73077
777	18259.92761
778	18258.80785
779	18257.83276
780	18255.97273
781	18254.86981
782	18254.10661
783	18253.22124
784	18251.90322
785	18249.64386
786	18248.05322
787	18247.00603
788	18245.28752
789	18244.34235
790	18243.5173
791	18242.93187
792	18241.22184
793	18240.45792
794	18239.27897
795	18237.94388
796	18235.69265
797	18234.75579
798	18233.60449
799	18232.30891
800	18231.03381
801	18230.1468
802	18229.29082
803	18227.76309
804	18226.85875
805	18225.35859
806	18224.35243
807	18223.74422
808	18222.07571
809	18221.16827
810	18219.50312
811	18218.50856
812	18217.94609
813	18215.5868
814	18214.73635
815	18213.60952
816	18212.54424
817	18211.55455
818	18210.5007
819	18209.15454
820	18208.60566
821	18207.24593
822	18206.42427
823	18204.6049
824	18203.34669
825	18202.59713
826	18201.81049
827	18200.38096
828	18199.84406
829	18199.59147
830	18198.95528
831	18198.05261
832	18196.903
833	18196.1256
834	18194.856
835	18194.34863
836	18192.83038
837	18191.82179
838	18190.69518
839	18190.0242
840	18188.71772
841	18187.27566
842	18186.29276
843	18185.0299
844	18183.95296
845	18183.5739
846	18182.71073
847	18180.68356
848	18180.0709
849	18179.05209
850	18178.07547
851	18177.72368
852	18176.49851
853	18175.48458
854	18174.79661
855	18174.14228
856	18172.84249
857	18171.55198
858	18170.98722
859	18170.21092
860	18167.3755
861	18166.34759
862	18165.87679
863	18165.04851
864	18164.3905
865	18163.86223
866	18163.32589
867	18162.69389
868	18160.91585
869	18159.89697
870	18158.58597
871	18156.79975
872	18155.6772
873	18155.24672
874	18154.20124
875	18153.64584
876	18152.22126
877	18150.18624
878	18149.38018
879	18148.63896
880	18146.63456
881	18145.35652
882	18143.9201
883	18143.48924
884	18142.44665
885	18141.57979
886	18141.08381
887	18140.16668
888	18139.65516
889	18137.96282
890	18136.84362
891	18136.22231
892	18134.84239
893	18133.61185
894	18132.11328
895	18130.05674
896	18128.51119
897	18126.75907
898	18126.03082
899	18125.56249
900	18124.50992
901	18123.4349
902	18122.74098
903	18121.35397
904	18119.24778
905	18118.68667
906	18117.07011
907	18116.3514
908	18115.20785
909	18113.82224
910	18113.28229
911	18111.88395
912	18111.07419
913	18109.33353
914	18108.00621
915	18107.5512
916	18106.5446
917	18105.91265
918	18105.03704
919	18104.34594
920	18103.562
921	18102.75586
922	18101.63837
923	18100.84181
924	18099.66656
925	18098.79374
926	18097.75519
927	18097.10586
928	18095.92938
929	18094.698
930	18093.25268
931	18091.82765
932	18090.53834
933	18089.12116
934	18087.99011
935	18086.60367
936	18086.01438
937	18085.2877
938	18084.69219
939	18083.70596
940	18082.21054
941	18080.995
942	18080.35839
943	18079.62661
944	18078.52945
945	18077.64919
946	18076.45115
947	18074.81054
948	18074.53315
949	18073.52682
950	18072.56368
951	18071.11582
952	18069.60822
953	18068.85556
954	18067.64193
955	18066.21432
956	18064.94704
957	18063.72688
958	18063.17569
959	18062.12504
960	18060.86871
961	18059.7295
962	18058.42443
963	18056.95302
964	18056.10868
965	18054.54804
966	18053.61622
967	18052.31329
968	18051.05182
969	18050.50128
970	18050.02854
971	18049.00595
972	18047.84258
973	18046.72933
974	18046.11424
975	18044.33875
976	18043.74408
977	18042.76974
978	18042.27195
979	18041.17543
980	18039.51228
981	18037.72008
982	18036.45875
983	18035.36794
984	18034.61366
985	18033.52074
986	18031.92938
987	18031.2164
988	18030.66637
989	18030.011
990	18029.64964
991	18028.73363
992	18027.92115
993	18027.08079
994	18025.07665
995	18024.34959
996	18023.64929
997	18021.97563
998	18021.65461
999	18020.39158
