iter	Logloss
147	0.5119992921
148	0.5119068818
149	0.5117836099
150	0.5116946601
151	0.5116083766
152	0.5114432253
153	0.5113766076
154	0.5113130944
155	0.5112362429
156	0.5110909256
157	0.5110005548
158	0.5109215566
159	0.5108173328
160	0.5106070642
161	0.5104943453
162	0.5104539901
163	0.5103699744
164	0.5102413426
165	0.5101835533
166	0.5101208388
167	0.5100246485
168	0.5099573258
169	0.5098775655
170	0.5097827481
171	0.5097335559
172	0.5096529664
173	0.5095348327
174	0.509440549
175	0.5093429742
176	0.5092920137
177	0.5091748583
178	0.5090414945
179	0.5089785631
180	0.5088758705
181	0.5087780511
182	0.508544861
183	0.508452417
184	0.5083574466
185	0.5083188349
186	0.5082026035
187	0.5081155712
188	0.5079986978
189	0.5078414513
190	0.5077683987
191	0.5076394446
192	0.5075355336
193	0.5074215809
194	0.507335956
195	0.5072496493
196	0.5071332944
197	0.5070732699
198	0.5069519449
199	0.5068646468
200	0.506756575
201	0.5066835979
202	0.506607637
203	0.5066062334
204	0.5064953733
205	0.5063959594
206	0.5063060099
207	0.5062323802
208	0.5061184862
209	0.5059931718
210	0.5059485043
211	0.5058663034
212	0.5057862417
213	0.5057168014
214	0.5056431329
215	0.5055882107
216	0.5055131057
217	0.5054714841
218	0.5054210894
219	0.5053592136
220	0.5051536131
221	0.5050982066
222	0.5050037105
223	0.5048914473
224	0.5047946466
225	0.5046305611
226	0.5045694643
227	0.5044523458
228	0.5044185493
229	0.5043138219
230	0.5042186323
231	0.5041655401
232	0.504118991
233	0.5039666476
234	0.5038874152
235	0.5036720367
236	0.503536321
237	0.5034699448
238	0.5034263445
239	0.5033790728
240	0.5032667063
241	0.5032204527
242	0.5031246365
243	0.5030216139
244	0.5029678081
245	0.5028949426
246	0.5028374855
247	0.502768954
248	0.502655575
249	0.502584079
250	0.5025433217
251	0.5024456011
252	0.5023879751
253	0.5022529895
254	0.5022186613
255	0.5021782143
256	0.5020619193
257	0.5019792188
258	0.5018678545
259	0.5017289167
260	0.5016366145
261	0.5015198826
262	0.5014513224
263	0.5013856955
264	0.5013282865
265	0.5011947838
266	0.5011584801
267	0.5010204789
268	0.5009624932
269	0.5009296629
270	0.50087278
271	0.5008549264
272	0.5007501235
273	0.5006637843
274	0.5005321281
275	0.5004456578
276	0.500438509
277	0.5003437069
278	0.5001960945
279	0.5001249785
280	0.5000410262
281	0.499987792
282	0.499922411
283	0.4998632473
284	0.4997539965
285	0.4996875559
286	0.4995595244
287	0.4994038321
288	0.4992810512
289	0.4992176937
290	0.4991579402
291	0.4990290553
292	0.4989386613
293	0.4988842227
294	0.4988152154
295	0.4987143669
296	0.4986080426
297	0.4985201495
298	0.4984593996
299	0.4983554306
300	0.4982516624
301	0.4981312986
302	0.4980316339
303	0.4978939641
304	0.4978234643
305	0.4976804953
306	0.4976114047
307	0.4975057846
308	0.4974168125
309	0.4972807656
310	0.4972108976
311	0.4971816264
312	0.4971016388
313	0.4969399401
314	0.4968525646
315	0.4966661618
316	0.4966149665
317	0.4964851617
318	0.4964077398
319	0.4963262781
320	0.4962261821
321	0.4961286996
322	0.4960488804
323	0.4959139681
324	0.4958376512
325	0.4957770357
326	0.4955984232
327	0.4955303394
328	0.495382006
329	0.4953134843
330	0.4951884156
331	0.4951254674
332	0.4950935856
333	0.4950392043
334	0.4949776441
335	0.4948667576
336	0.4947974644
337	0.494658389
338	0.4945890456
339	0.4945134962
340	0.4944260782
341	0.4943427757
342	0.4943058587
343	0.4942485076
344	0.4942260797
345	0.4941202063
346	0.4940103621
347	0.4939157288
348	0.4938799026
349	0.4937508706
350	0.493654692
351	0.49359271
352	0.4935580673
353	0.4934630692
354	0.4934089739
355	0.4933613949
356	0.4933103023
357	0.4932399168
358	0.493134604
359	0.4930683492
360	0.4929979306
361	0.4929738982
362	0.4928984916
363	0.4928342981
364	0.492782787
365	0.4926112013
366	0.4925302837
367	0.4924481311
368	0.4923298869
369	0.4922693605
370	0.4921668521
371	0.492060751
372	0.4919317191
373	0.4918291759
374	0.4917148543
375	0.4916515341
376	0.491553644
377	0.4914778564
378	0.4913688197
379	0.4913101403
380	0.4912143783
381	0.4910679388
382	0.4910294113
383	0.4909842131
384	0.4908762717
385	0.4907973549
386	0.4907262242
387	0.4906176348
388	0.4905513786
389	0.4903161715
390	0.490209643
391	0.4901181438
392	0.4900348917
393	0.4899344636
394	0.4898299555
395	0.4897488628
396	0.4896876773
397	0.4896238164
398	0.4895094985
399	0.4894558797
400	0.4893754303
401	0.4893345783
402	0.4892950966
403	0.4892082487
404	0.4890646097
405	0.4889562139
406	0.48886524
407	0.4888104217
408	0.48867729
409	0.4885898558
410	0.4885290322
411	0.4884473907
412	0.4883510282
413	0.4883072919
414	0.4882043715
415	0.4880824519
416	0.4880206041
417	0.487971062
418	0.4878718122
419	0.4878056577
420	0.4876729459
421	0.4876028264
422	0.4874494874
423	0.4873822613
424	0.4872757533
425	0.4871986906
426	0.4871462743
427	0.4870576789
428	0.4869305723
429	0.4868407748
430	0.4867163678
431	0.4866102514
432	0.4865584143
433	0.4864606455
434	0.4864361053
435	0.4864001792
436	0.4862974505
437	0.4861176399
438	0.4860706419
439	0.4859891164
440	0.4858693462
441	0.4857987936
442	0.4856752832
443	0.485612171
444	0.4855624501
445	0.4854449727
446	0.4853618726
447	0.4852180384
448	0.4851371616
449	0.4849948603
450	0.4849272511
451	0.484833695
452	0.4847772645
453	0.4846742024
454	0.4846015244
455	0.4844763969
456	0.4843957091
457	0.4843211202
458	0.4842503766
459	0.4841455093
460	0.484027103
461	0.483954837
462	0.4839109954
463	0.4838360975
464	0.4837314596
465	0.4836063402
466	0.4835368219
467	0.4834027462
468	0.4833028314
469	0.4832032979
470	0.4831043818
471	0.4830411205
472	0.4829757971
473	0.4828697102
474	0.4827918737
475	0.4826334997
476	0.4825671946
477	0.4824472685
478	0.4823646454
479	0.4823046257
480	0.4822417227
481	0.4821323966
482	0.4820809075
483	0.4819960298
484	0.4819307741
485	0.4818602852
486	0.481761566
487	0.4816500669
488	0.4815882076
489	0.4815152905
490	0.4814292667
491	0.4813288513
492	0.4812695301
493	0.4811387054
494	0.4810594118
495	0.4809939266
496	0.4809323093
497	0.4807918668
498	0.4806693974
499	0.4806026847
500	0.4805046894
501	0.4803814358
502	0.4803241957
503	0.4802294428
504	0.4801793494
505	0.480066573
506	0.4800105555
507	0.4799105846
508	0.4798309471
509	0.4797354784
510	0.4796207205
511	0.4795358131
512	0.4794531933
513	0.479374105
514	0.4793030853
515	0.4791807762
516	0.4790920756
517	0.4790170194
518	0.4789681694
519	0.4788467716
520	0.478791649
521	0.4787014569
522	0.478616529
523	0.4784789788
524	0.4783953403
525	0.4782950818
526	0.4782235016
527	0.4780808402
528	0.4779662656
529	0.4779145709
530	0.4777867583
531	0.4776703355
532	0.4775931372
533	0.4775400497
534	0.4774864858
535	0.4773817045
536	0.4772774602
537	0.4772205299
538	0.4771293827
539	0.4770484214
540	0.4769793257
541	0.4768653221
542	0.476781432
543	0.4767119007
544	0.4766573281
545	0.476596176
546	0.4765022424
547	0.4764258111
548	0.47636171
549	0.4762815177
550	0.476198098
551	0.4760851386
552	0.4760154652
553	0.4759535363
554	0.4758312676
555	0.4757495953
556	0.4756474532
557	0.4755269428
558	0.4754679152
559	0.475391278
560	0.4753290762
561	0.4752597524
562	0.4751499524
563	0.4750761936
564	0.475016855
565	0.4749599803
566	0.4748931224
567	0.4747694179
568	0.4746645285
569	0.4745856098
570	0.4745115717
571	0.4744058134
572	0.4742911934
573	0.474213116
574	0.4741027216
575	0.4739943492
576	0.4739045327
577	0.4738570204
578	0.4737862661
579	0.4736409737
580	0.4735900851
581	0.4735182354
582	0.4734075581
583	0.4733402289
584	0.4732133037
585	0.4731579042
586	0.4730560058
587	0.4729616159
588	0.4729343518
589	0.4728441414
590	0.4727708433
591	0.4726534971
592	0.4725707837
593	0.4724616476
594	0.472369056
595	0.4722859109
596	0.4722064564
597	0.4721292595
598	0.4720007554
599	0.4719268585
600	0.4718048405
601	0.4717141756
602	0.4715936466
603	0.4714499657
604	0.471356747
605	0.4712580979
606	0.4711593392
607	0.4710722165
608	0.4709744111
609	0.4708696801
610	0.4707949935
611	0.4706991111
612	0.4705995284
613	0.4705746929
614	0.4704659271
615	0.4704074936
616	0.4703297517
617	0.4702735836
618	0.4701746048
619	0.4700597111
620	0.4699736826
621	0.4699112948
622	0.4698191324
623	0.4697535173
624	0.4696354828
625	0.4695469353
626	0.4694869227
627	0.4694003266
628	0.4692577536
629	0.4691753842
630	0.4690932025
631	0.4690873681
632	0.4689473883
633	0.4688758724
634	0.4687993884
635	0.468687918
636	0.4686095719
637	0.4685638847
638	0.4684098792
639	0.4683411891
640	0.4682886136
641	0.4682168362
642	0.4681737415
643	0.4681068446
644	0.468060907
645	0.4680146599
646	0.4679351322
647	0.4678343441
648	0.467789268
649	0.4676836809
650	0.4675987124
651	0.467558312
652	0.4674623038
653	0.4673793388
654	0.4672939618
655	0.467209783
656	0.4671366399
657	0.467094268
658	0.4670185061
659	0.4669268363
660	0.4668470556
661	0.4667564305
662	0.4666805877
663	0.4665767683
664	0.4665219426
665	0.4664656797
666	0.4664188767
667	0.4663697373
668	0.4663207344
669	0.4662494175
670	0.4661702621
671	0.4661097381
672	0.4660012965
673	0.4659346444
674	0.4658549925
675	0.465772888
676	0.4657695207
677	0.4656748366
678	0.4655809318
679	0.465520524
680	0.4654486255
681	0.4654048657
682	0.4653504096
683	0.4652690911
684	0.4651977928
685	0.4651053294
686	0.4650184724
687	0.4649340999
688	0.4648513405
689	0.4647359443
690	0.4646431826
691	0.4645807016
692	0.4645044817
693	0.4644635253
694	0.4643843489
695	0.4642888617
696	0.4641584943
697	0.4640909622
698	0.4640258546
699	0.4639371644
700	0.4638321099
701	0.4637737716
702	0.4636863325
703	0.4636063127
704	0.4635577517
705	0.463475374
706	0.4633943619
707	0.4633313854
708	0.4632473762
709	0.4631387913
710	0.4630810133
711	0.4629693249
712	0.4628866096
713	0.4628319451
714	0.4627694169
715	0.4626886976
716	0.4626214209
717	0.4624926122
718	0.4624040302
719	0.4623441572
720	0.462233061
721	0.4621511566
722	0.4620583873
723	0.4619805734
724	0.4619169959
725	0.4618015627
726	0.46176155
727	0.4617086599
728	0.4616488813
729	0.4615519847
730	0.4614807408
731	0.4613859463
732	0.4613388223
733	0.4613046013
734	0.4612114791
735	0.4610658888
736	0.4609791833
737	0.4608933284
738	0.460826787
739	0.460752072
740	0.460647439
741	0.4605716085
742	0.4605130575
743	0.4604409063
744	0.4603255929
745	0.4602705312
746	0.4601849899
747	0.4601346294
748	0.4600725621
749	0.4600349432
750	0.4600041692
751	0.4599049402
752	0.4598370983
753	0.4597466291
754	0.4596459671
755	0.4595551993
756	0.4594697776
757	0.4593497934
758	0.4592743549
759	0.4591788227
760	0.4590678786
761	0.459042566
762	0.4589592303
763	0.4588788874
764	0.4587888341
765	0.4587472428
766	0.4586964686
767	0.4585989973
768	0.4584766194
769	0.4584334102
770	0.4583822207
771	0.4583789633
772	0.4582965816
773	0.4581709338
774	0.4580578779
775	0.4580134509
776	0.457935358
777	0.4578290229
778	0.4577150415
779	0.4576141994
780	0.4575447649
781	0.457500258
782	0.457398828
783	0.4573598728
784	0.4573016414
785	0.4572077436
786	0.4571261934
787	0.4570546504
788	0.4569974691
789	0.4569616333
790	0.4568560251
791	0.4567348874
792	0.4566512349
793	0.4565655938
794	0.4565319963
795	0.4564616307
796	0.4564292522
797	0.4563334525
798	0.4562263956
799	0.45614182
800	0.4560800678
801	0.4560256838
802	0.455963446
803	0.4558801975
804	0.4558357408
805	0.4557182117
806	0.4556461198
807	0.455585732
808	0.4554538492
809	0.4553731577
810	0.455301861
811	0.455220546
812	0.4551366655
813	0.4550950602
814	0.4550265183
815	0.4549702353
816	0.4549214871
817	0.4548751011
818	0.4547973157
819	0.4547306047
820	0.4546975925
821	0.4546145727
822	0.4545193972
823	0.4544700715
824	0.4543894326
825	0.4543372401
826	0.4542655031
827	0.4541994495
828	0.4541236635
829	0.4540376993
830	0.4539671218
831	0.4538461195
832	0.453788889
833	0.4536963102
834	0.4536432419
835	0.4535548107
836	0.4534688245
837	0.4534393106
838	0.4533825972
839	0.4532698784
840	0.4532211469
841	0.4531777498
842	0.453136574
843	0.4530928662
844	0.4530343292
845	0.4529709084
846	0.4529119238
847	0.4528491156
848	0.4528063
849	0.4527671939
850	0.4526150448
851	0.452563274
852	0.452507247
853	0.4524321457
854	0.4524165568
855	0.4523229197
856	0.4522411324
857	0.4521482767
858	0.4520503751
859	0.4519820322
860	0.4518954876
861	0.4517983795
862	0.45173614
863	0.4516783299
864	0.4516399469
865	0.4515611856
866	0.4515262845
867	0.451480165
868	0.4514626511
869	0.4513867354
870	0.451261893
871	0.4512095645
872	0.4510972804
873	0.4510105155
874	0.4509743469
875	0.4508731474
876	0.4508186161
877	0.4507814521
878	0.4507341232
879	0.4506193596
880	0.450559318
881	0.4505014461
882	0.4504334464
883	0.4503550081
884	0.4502987795
885	0.4502030524
886	0.4501501186
887	0.4501261456
888	0.4500471155
889	0.4499373739
890	0.4498781801
891	0.4498256162
892	0.4497599089
893	0.4496607093
894	0.4495923429
895	0.4495360488
896	0.4494701769
897	0.449385492
898	0.4493307632
899	0.4492759794
900	0.4492070295
901	0.4491373059
902	0.4490725777
903	0.4489974957
904	0.4489523617
905	0.4489120759
906	0.4488657859
907	0.448771918
908	0.4486775535
909	0.4486018826
910	0.4485226351
911	0.448396561
912	0.4482810826
913	0.4482054137
914	0.4481684834
915	0.4480541024
916	0.4479725959
917	0.4479297892
918	0.4478422652
919	0.4477796317
920	0.4477080779
921	0.4476179672
922	0.4475672406
923	0.4474647334
924	0.4473954679
925	0.4473020221
926	0.4472586169
927	0.4471796593
928	0.4471300663
929	0.4470699449
930	0.4469624923
931	0.4468721104
932	0.4468005389
933	0.446744897
934	0.4466752601
935	0.4466145608
936	0.4465290169
937	0.4464624585
938	0.4464011861
939	0.4463526727
940	0.4462889733
941	0.4462028761
942	0.4461612825
943	0.4461030188
944	0.4460186016
945	0.4459628568
946	0.4459401789
947	0.4458876088
948	0.4457937536
949	0.4457429877
950	0.4456805442
951	0.4456257796
952	0.4455711233
953	0.4454521743
954	0.4453948534
955	0.445297279
956	0.4452605411
957	0.4451585102
958	0.4451200044
959	0.4450413148
960	0.4449603868
961	0.4448281853
962	0.4447654158
963	0.4446723801
964	0.4446109112
965	0.4445177484
966	0.4444431951
967	0.4443899343
968	0.4442906575
969	0.444258845
970	0.4441597884
971	0.444077747
972	0.4439844061
973	0.4439090862
974	0.4438363084
975	0.4437636064
976	0.4436928019
977	0.4436218577
978	0.4435188006
979	0.4434144672
980	0.443346896
981	0.4432932544
982	0.4432370613
983	0.4431557169
984	0.4430877759
985	0.4430227014
986	0.4429836469
987	0.4429593736
988	0.4429079359
989	0.4428263041
990	0.4427667594
991	0.4426811381
992	0.442647579
993	0.4426034501
994	0.442560773
995	0.44249279
996	0.4424613032
997	0.442398081
998	0.4423650184
999	0.4422822921
	0.4416358208
999	0.4415921502
