iter	Passed	Remaining
285	1981	4946
286	1989	4941
287	1995	4934
288	2001	4924
289	2009	4919
290	2015	4909
291	2021	4901
292	2029	4898
293	2037	4892
294	2044	4886
295	2050	4876
296	2058	4871
297	2063	4861
298	2070	4854
299	2077	4846
300	2082	4836
301	2090	4831
302	2096	4822
303	2103	4815
304	2109	4805
305	2114	4796
306	2120	4786
307	2126	4777
308	2132	4769
309	2138	4759
310	2144	4750
311	2150	4741
312	2155	4732
313	2161	4722
314	2167	4713
315	2173	4704
316	2179	4695
317	2185	4686
318	2191	4678
319	2197	4669
320	2203	4660
321	2208	4650
322	2214	4641
323	2220	4632
324	2226	4623
325	2231	4614
326	2237	4605
327	2243	4595
328	2249	4587
329	2255	4578
330	2260	4569
331	2267	4562
332	2273	4554
333	2280	4548
334	2287	4540
335	2293	4531
336	2301	4527
337	2307	4518
338	2314	4512
339	2320	4505
340	2327	4498
341	2335	4492
342	2340	4483
343	2348	4477
344	2353	4468
345	2360	4462
346	2368	4457
347	2374	4448
348	2382	4443
349	2388	4435
350	2394	4428
351	2401	4421
352	2407	4411
353	2414	4406
354	2420	4398
355	2437	4409
356	2470	4450
357	2482	4452
358	2488	4443
359	2496	4437
360	2501	4428
361	2508	4420
362	2515	4414
363	2521	4405
364	2528	4398
365	2534	4389
366	2540	4381
367	2546	4372
368	2551	4363
369	2558	4355
370	2563	4346
371	2569	4337
372	2575	4329
373	2581	4320
374	2586	4311
375	2592	4302
376	2598	4293
377	2604	4284
378	2609	4276
379	2615	4267
380	2621	4258
381	2627	4250
382	2632	4241
383	2638	4233
384	2644	4224
385	2650	4215
386	2656	4207
387	2661	4198
388	2667	4190
389	2673	4181
390	2679	4173
391	2685	4165
392	2691	4156
393	2696	4148
394	2703	4140
395	2709	4132
396	2715	4124
397	2721	4116
398	2727	4108
399	2733	4099
400	2739	4092
401	2745	4083
402	2751	4075
403	2757	4067
404	2763	4059
405	2768	4051
406	2774	4042
407	2780	4034
408	2786	4026
409	2792	4018
410	2797	4009
411	2803	4001
412	2809	3992
413	2815	3984
414	2821	3977
415	2829	3972
416	2837	3966
417	2842	3958
418	2848	3950
419	2854	3941
420	2860	3933
421	2866	3926
422	2872	3917
423	2877	3909
424	2883	3901
425	2889	3893
426	2896	3886
427	2907	3885
428	2914	3878
429	2919	3870
430	2925	3862
431	2932	3855
432	2937	3846
433	2943	3838
434	2949	3830
435	2954	3822
436	2960	3814
437	2966	3806
438	2972	3798
439	2978	3790
440	2984	3782
441	2989	3774
442	2995	3766
443	3001	3758
444	3006	3750
445	3012	3742
446	3018	3734
447	3024	3726
448	3030	3718
449	3036	3711
450	3042	3703
451	3047	3695
452	3054	3687
453	3060	3680
454	3066	3672
455	3072	3665
456	3078	3657
457	3084	3649
458	3090	3642
459	3095	3634
460	3101	3626
461	3108	3619
462	3113	3611
463	3119	3603
464	3125	3595
465	3130	3587
466	3136	3579
467	3142	3572
468	3147	3564
469	3153	3556
470	3159	3548
471	3165	3540
472	3171	3533
473	3176	3525
474	3182	3517
475	3188	3510
476	3194	3502
477	3200	3494
478	3206	3487
479	3211	3479
480	3217	3471
481	3223	3464
482	3228	3455
483	3234	3448
484	3240	3440
485	3245	3432
486	3251	3425
487	3257	3418
488	3263	3410
489	3269	3403
490	3275	3395
491	3281	3388
492	3287	3380
493	3293	3373
494	3299	3365
495	3305	3358
496	3311	3351
497	3317	3344
498	3323	3337
499	3329	3329
500	3336	3322
501	3342	3315
502	3347	3307
503	3353	3300
504	3359	3293
505	3365	3285
506	3371	3277
507	3376	3270
508	3382	3263
509	3388	3255
510	3394	3248
511	3400	3241
512	3406	3233
513	3412	3226
514	3417	3218
515	3423	3211
516	3429	3203
517	3434	3196
518	3440	3188
519	3446	3181
520	3452	3173
521	3457	3166
522	3463	3158
523	3469	3151
524	3475	3144
525	3481	3136
526	3486	3129
527	3492	3121
528	3498	3114
529	3503	3107
530	3509	3100
531	3516	3093
532	3522	3085
533	3528	3079
534	3533	3071
535	3539	3064
536	3545	3056
537	3551	3049
538	3556	3042
539	3562	3034
540	3568	3027
541	3574	3020
542	3580	3013
543	3585	3005
544	3590	2997
545	3596	2990
546	3602	2983
547	3608	2975
548	3613	2968
549	3619	2961
550	3625	2954
551	3630	2946
552	3636	2939
553	3642	2932
554	3647	2924
555	3653	2917
556	3659	2910
557	3664	2902
558	3669	2895
559	3675	2888
560	3681	2880
561	3687	2873
562	3692	2866
563	3698	2858
564	3704	2851
565	3709	2844
566	3716	2838
567	3722	2831
568	3728	2824
569	3734	2817
570	3740	2810
571	3746	2803
572	3752	2796
573	3760	2790
574	3766	2783
575	3772	2777
576	3779	2770
577	3785	2763
578	3793	2757
579	3798	2750
580	3805	2744
581	3812	2737
582	3817	2730
583	3825	2724
584	3830	2717
585	3837	2710
586	3843	2704
587	3849	2697
588	3856	2691
589	3862	2684
590	3869	2677
591	3875	2671
592	3884	2665
593	3891	2659
594	3897	2652
595	3903	2646
596	3910	2639
597	3917	2633
598	3924	2627
599	3930	2620
600	3938	2614
601	3944	2607
602	3951	2601
603	3957	2594
604	3963	2587
605	3969	2580
606	3976	2574
607	3985	2569
608	3993	2564
609	4000	2557
610	4008	2551
611	4015	2545
612	4022	2539
613	4029	2532
614	4037	2527
615	4045	2522
616	4054	2516
617	4063	2511
618	4071	2506
619	4079	2500
620	4088	2494
621	4095	2489
622	4102	2482
623	4109	2476
624	4116	2469
625	4122	2463
626	4129	2456
627	4136	2450
628	4144	2444
629	4153	2439
630	4162	2434
631	4171	2428
632	4179	2423
633	4185	2416
634	4191	2409
635	4197	2402
636	4205	2396
637	4212	2389
638	4219	2383
639	4238	2384
640	4253	2382
641	4262	2376
642	4270	2371
643	4301	2377
644	4312	2373
645	4320	2367
646	4331	2363
647	4341	2358
648	4351	2353
649	4360	2348
650	4368	2341
651	4380	2338
652	4400	2338
653	4407	2331
654	4414	2325
655	4419	2317
656	4426	2311
657	4432	2303
658	4438	2296
659	4444	2289
660	4450	2282
661	4456	2275
662	4462	2268
663	4468	2261
664	4474	2254
665	4480	2246
666	4486	2239
667	4492	2232
668	4498	2225
669	4504	2218
670	4509	2211
671	4515	2203
672	4521	2196
673	4527	2189
674	4532	2182
675	4538	2175
676	4544	2168
677	4550	2161
678	4556	2154
679	4561	2146
680	4567	2139
681	4573	2132
682	4578	2125
683	4584	2117
684	4590	2110
685	4595	2103
686	4601	2096
687	4607	2089
688	4613	2082
689	4619	2075
690	4625	2068
691	4630	2061
692	4636	2054
693	4642	2047
694	4648	2039
695	4654	2032
696	4660	2026
697	4666	2019
698	4672	2011
699	4678	2005
700	4684	1998
701	4690	1991
702	4696	1984
703	4703	1977
704	4708	1970
705	4714	1963
706	4721	1956
707	4727	1949
708	4733	1942
709	4739	1935
710	4745	1928
711	4752	1922
712	4757	1915
713	4764	1908
714	4769	1901
715	4775	1894
716	4781	1887
717	4787	1880
718	4792	1873
719	4798	1866
720	4804	1859
721	4810	1852
722	4817	1845
723	4822	1838
724	4829	1831
725	4835	1825
726	4841	1818
727	4849	1812
728	4856	1805
729	4863	1798
730	4869	1791
731	4875	1784
732	4882	1778
733	4890	1772
734	4898	1766
735	4906	1759
736	4914	1753
737	4921	1747
738	4928	1740
739	4936	1734
740	4944	1728
741	4950	1721
742	4956	1714
743	4963	1707
744	4970	1701
745	4976	1694
746	4983	1687
747	4989	1680
748	4997	1674
749	5003	1667
750	5009	1661
751	5015	1654
752	5022	1647
753	5030	1641
754	5036	1634
755	5042	1627
756	5048	1620
757	5055	1613
758	5061	1607
759	5066	1600
760	5073	1593
761	5078	1586
762	5084	1579
763	5090	1572
764	5096	1565
765	5101	1558
766	5107	1551
767	5113	1544
768	5118	1537
769	5124	1530
770	5129	1523
771	5135	1516
772	5141	1509
773	5146	1502
774	5152	1495
775	5158	1488
776	5164	1482
777	5171	1475
778	5177	1468
779	5183	1462
780	5190	1455
781	5195	1448
782	5203	1442
783	5210	1435
784	5216	1428
785	5224	1422
786	5230	1415
787	5238	1409
788	5243	1402
789	5249	1395
790	5257	1389
791	5263	1382
792	5271	1375
793	5278	1369
794	5288	1363
795	5295	1357
796	5302	1350
797	5309	1344
798	5315	1337
799	5321	1330
800	5327	1323
801	5334	1317
802	5340	1310
803	5346	1303
804	5352	1296
805	5358	1289
806	5364	1282
807	5370	1276
808	5375	1269
809	5381	1262
810	5387	1255
811	5393	1248
812	5399	1241
813	5405	1235
814	5410	1228
815	5416	1221
816	5422	1214
817	5427	1207
818	5433	1200
819	5439	1193
820	5444	1187
821	5451	1180
822	5456	1173
823	5462	1166
824	5468	1159
825	5473	1153
826	5479	1146
827	5485	1139
828	5490	1132
829	5496	1125
830	5502	1118
831	5507	1112
832	5514	1105
833	5520	1098
834	5530	1092
835	5541	1087
836	5552	1081
837	5560	1075
838	5567	1068
839	5573	1061
840	5580	1055
841	5586	1048
842	5593	1041
843	5599	1035
844	5606	1028
845	5612	1021
846	5620	1015
847	5636	1010
848	5643	1003
849	5650	997
850	5659	990
851	5666	984
852	5674	977
853	5682	971
854	5690	964
855	5698	958
856	5707	952
857	5716	946
858	5726	939
859	5732	933
860	5739	926
861	5745	919
862	5750	912
863	5758	906
864	5764	899
865	5771	892
866	5778	886
867	5783	879
868	5789	872
869	5796	866
870	5807	860
871	5814	853
872	5822	847
873	5829	840
874	5837	833
875	5843	827
876	5849	820
877	5856	813
878	5863	807
879	5870	800
880	5876	793
881	5881	786
882	5889	780
883	5895	773
884	5902	766
885	5909	760
886	5914	753
887	5921	746
888	5927	740
889	5933	733
890	5939	726
891	5945	719
892	5952	713
893	5957	706
894	5963	699
895	5969	692
896	5975	686
897	5981	679
898	5987	672
899	5992	665
900	6000	659
901	6006	652
902	6012	645
903	6018	639
904	6023	632
905	6029	625
906	6035	618
907	6041	612
908	6046	605
909	6052	598
910	6058	591
911	6063	585
912	6069	578
913	6075	571
914	6080	564
915	6086	558
916	6106	552
917	6148	549
918	6157	542
919	6171	536
920	6182	530
921	6191	523
922	6251	521
923	6325	520
924	6336	513
925	6344	507
926	6352	500
927	6367	494
928	6380	487
929	6390	481
930	6400	474
931	6406	467
932	6419	460
933	6430	454
934	6436	447
935	6448	440
936	6456	434
937	6468	427
938	6479	420
939	6485	413
940	6492	407
941	6500	400
942	6508	393
943	6516	386
944	6526	379
945	6535	373
946	6542	366
947	6549	359
948	6556	352
949	6564	345
950	6570	338
951	6579	331
952	6585	324
953	6595	318
954	6601	311
955	6609	304
956	6617	297
957	6626	290
958	6633	283
959	6643	276
960	6649	269
961	6656	262
962	6662	255
963	6668	249
964	6677	242
965	6683	235
966	6690	228
967	6696	221
968	6702	214
969	6709	207
970	6715	200
971	6722	193
972	6728	186
973	6734	179
974	6741	172
975	6747	165
976	6754	159
977	6760	152
978	6767	145
979	6774	138
980	6779	131
981	6787	124
982	6794	117
983	6800	110
984	6806	103
985	6812	96
986	6820	89
987	6826	82
988	6833	76
989	6838	69
990	6844	62
991	6851	55
992	6858	48
993	6867	41
994	6873	34
995	6879	27
996	6886	20
997	6893	13
998	6901	6
999	6908	0
